Player,Position,League,Contract Start,Contract End,Age,Overall Score,Potential Score,Player ID,Height,Weight,Preferred Foot,Best Overall,Best Position,Growth,Joined Team,Loan End,Value,Wage,Release Clause,Total Attacking Score,Crossing,Finishing,Heading Accuracy,Short Passing,Volleys,Total Skill,Dribbling,Curve,FK Accuracy,Long Passing,Ball Control,Total Movement,Acceleration,Sprint Speed,Agility,Reactions,Balance,Total Power,Shot Power,Jumping,Stamina,Strength,Long Shots,Total Mentality,Aggression,Interceptions,Attack Position,Vision,Penalties,Composure,Total Defending,Defensive Awareness,Standing Tackle,Sliding tackle,Total Goalkeeping,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes,Total Stats,Base Stats,Weak Foot,Skill Moves,Attacking Work Rate,Defensive Work Rate,International Reputation,Body Type,Real Face,Pace/Diving,Shooting/Handling,Passing/Kicking,Dribbling/Reflexes,Defending/Pace,Physical/Positioning
Alejandro Romero Gamarra,"CAM, CM, RM, CAM",Pro League (United Arab Emirates),2023,2026,29,79,79,226376,"171cm / 5'7""",67kg / 148lbs,Left,79,CAM,0,"Jul 1, 2023",N/A,€17M,€36K,€37.4M,327,79,73,30,81,64,393,79,80,74,79,81,405,82,80,86,74,83,334,70,60,70,59,75,345,72,42,73,84,74,73,173,65,53,55,51,12,14,7,7,11,2028,430,3,4,N/A,N/A,2,Normal (170-185),Yes,81,72,81,80,52,64
Soufiane Rahimi,"LM, LW, ST, LM",Pro League (United Arab Emirates),2021,2028,28,79,79,264348,"181cm / 5'11""",79kg / 174lbs,Right,79,LM,0,"Aug 24, 2021",N/A,€17.5M,€36K,€38.5M,363,73,80,62,75,73,356,80,68,66,66,76,397,87,84,75,75,76,369,71,77,81,62,78,314,52,41,78,76,67,74,99,35,34,30,44,8,9,5,8,14,1942,417,4,4,N/A,N/A,1,Normal (170-185),No,85,77,73,78,38,66
Kodjo Fo-Doh Laba,"ST, ST",Pro League (United Arab Emirates),2019,2026,32,78,78,251353,"181cm / 5'11""",78kg / 172lbs,Right,78,ST,0,"Jul 1, 2019",N/A,€11.5M,€35K,€25.3M,373,63,81,82,69,78,307,68,65,45,58,71,373,77,77,76,78,65,412,78,94,87,85,68,315,70,19,82,64,80,74,57,21,15,21,51,10,6,10,12,13,1888,397,4,3,N/A,N/A,1,Normal (170-185),No,77,78,64,70,25,83
Fábio Rafael Rodrigues Cardoso,"CB, CB",Pro League (United Arab Emirates),2021,2026,30,75,75,213917,"187cm / 6'2""",81kg / 179lbs,Right,75,CB,0,"Jul 1, 2021",N/A,€4.6M,€26K,€10.1M,230,35,22,76,71,26,256,65,33,29,67,62,310,62,53,64,74,57,327,60,84,76,82,25,270,82,76,32,41,39,68,223,76,74,73,56,7,14,12,15,8,1672,362,2,2,N/A,N/A,1,Normal (185+),No,57,32,53,64,75,81
Erik Jorgens de Menezes,"LB, LM",Pro League (United Arab Emirates),2020,2025,23,73,79,257188,"173cm / 5'8""",72kg / 159lbs,Left,74,LM,6,"Jul 15, 2020",N/A,€4.5M,€18K,€10.8M,288,71,52,50,72,43,341,73,68,64,64,72,402,87,83,84,68,80,326,57,73,85,66,45,315,82,67,67,66,33,66,197,66,67,64,41,10,6,7,10,8,1910,418,4,4,N/A,N/A,1,Normal (170-185),No,85,51,69,74,65,74
Bandar Al Ahbabi,"RB, RM, RB",Pro League (United Arab Emirates),2016,2027,33,72,72,247671,"170cm / 5'7""",60kg / 132lbs,Right,72,RB,0,"Oct 16, 2016",N/A,€1.2M,€22K,€2.6M,308,74,54,56,69,55,354,70,75,68,70,71,393,85,81,77,66,84,292,59,62,77,43,51,295,48,67,67,70,43,68,196,65,65,66,65,13,10,14,14,14,1903,398,2,3,N/A,N/A,1,Lean (170-),No,83,55,71,71,65,53
Kouame Autonne,"CB, CB",Pro League (United Arab Emirates),2021,2028,23,72,77,263163,"188cm / 6'2""",83kg / 183lbs,Left,74,CB,5,"Jul 7, 2021",N/A,€3.2M,€18K,€7.3M,229,38,27,70,63,31,226,41,44,25,60,56,324,66,77,65,64,52,303,39,81,76,86,21,247,68,72,27,48,32,59,213,69,75,69,55,13,10,12,9,11,1597,356,2,2,N/A,N/A,1,Normal (185+),No,72,29,52,51,72,80
Yong Woo Park,"CDM, CM, CDM",Pro League (United Arab Emirates),2023,2029,30,70,70,226652,"186cm / 6'1""",80kg / 176lbs,Right,70,CDM,0,"Jul 16, 2023",N/A,€1.3M,€20K,€2.9M,283,47,52,64,71,49,295,58,48,50,71,68,295,64,53,61,64,53,372,66,78,81,82,65,312,66,69,58,68,51,58,190,69,62,59,62,14,14,8,15,11,1809,383,3,2,N/A,N/A,1,Normal (185+),No,58,58,63,61,65,78
Matías Palacios,"CAM, CM, CDM, CAM",Pro League (United Arab Emirates),2022,2026,22,70+1,77+1,246107,"173cm / 5'8""",75kg / 165lbs,Right,72,CAM,7,"Jul 16, 2022",N/A,€3.2M,€17K,€7.7M,310,68,66+5,48,74+3,54,350,71,66,69,73+3,71,355,71,64,77,61,82,282,60,54+1,60,45,63,263,41,38,65,71,48,65,142,47,51,44,59,12,13,10,14,10,1761,366,3,4,N/A,N/A,1,Stocky (170-185),No,67,63,71,71,46,48
Yahia Nader,"CDM, CM, CDM",Pro League (United Arab Emirates),2018,2026,25,70,74,247060,"176cm / 5'9""",78kg / 172lbs,Right,71,CDM,4,"Jul 1, 2018",N/A,€2M,€18K,€4.6M,264,45,37,58,69,55,282,58,49,39,69,67,307,61,57,54,65,70,355,70,70,84,75,56,283,74,68,39,58,44,60,203,68,68,67,37,10,6,7,7,7,1731,373,3,2,N/A,N/A,1,Normal (170-185),No,59,49,60,61,67,77
Khalid Eissa,"GK, GK",Pro League (United Arab Emirates),2014,2027,34,70,70,247072,"179cm / 5'10""",72kg / 159lbs,Right,70,GK,0,"Jan 1, 2014",N/A,€275K,€13K,€605K,67,14,9,13,22,9,74,12,10,11,21,20,273,51,46,56,67,53,180,44,55,27,46,8,108,18,13,8,50,19,49,34,12,11,11,339,71,67,58,68,75,1075,388,3,1,N/A,N/A,1,Normal (170-185),No,71,67,58,75,49,68
Ahmed Barman,"CDM, CM, CDM",Pro League (United Arab Emirates),2013,2027,30,67,67,247696,"175cm / 5'9""",71kg / 157lbs,Left,67,CDM,0,"Feb 1, 2013",N/A,€850K,€18K,€1.9M,258,50,42,61,65,40,269,58,48,37,64,62,311,57,62,60,61,71,335,60,70,82,73,50,277,69,68,44,55,41,61,197,67,66,64,55,8,14,10,10,13,1702,365,3,2,N/A,N/A,1,Normal (170-185),No,60,47,58,60,66,74
Khaled Al Hashmi,"CB, RB, CB",Pro League (United Arab Emirates),2023,2026,27,67,70,269082,"181cm / 5'11""",77kg / 170lbs,Right,69,CB,3,"Jul 1, 2023",N/A,€1.2M,€17K,€2.7M,214,35,31,65,54,29,201,38,41,26,40,56,301,65,68,43,68,57,292,42,74,79,73,24,219,60,67,23,37,32,55,205,68,69,68,56,11,8,13,10,14,1488,328,3,2,N/A,N/A,1,Normal (170-185),No,67,31,43,47,68,72
Gino Infantino,"RW, LW, CM, CAM",Pro League (United Arab Emirates),2023,2028,21,66,78,258104,"179cm / 5'10""",74kg / 163lbs,Left,68,CAM,12,"Aug 3, 2023",N/A,€2.1M,€14K,€5M,292,63,61,48,67,53,329,73,64,57,65,70,346,73,69,72,59,73,297,65,58,61,54,59,272,54,42,63,59,54,64,148,45,57,46,44,8,11,13,5,7,1728,371,3,3,N/A,N/A,1,Lean (170-185),No,71,61,64,71,48,56
Dramane Koumare,"CB, CB",Pro League (United Arab Emirates),2023,2027,19,65,75,74995,"191cm / 6'3""",91kg / 201lbs,Right,67,CB,10,"Jul 1, 2023",N/A,€1.4M,€11K,€3.4M,223,42,32,62,63,24,182,30,23,20,55,54,286,65,68,40,53,60,302,55,78,63,83,23,211,55,62,27,34,33,45,200,65,68,67,38,11,6,6,8,7,1442,328,3,2,N/A,N/A,1,Stocky (185+),No,67,34,48,42,65,72
Mohammed Abbas,"CM, CDM, CAM, CAM",Pro League (United Arab Emirates),2021,2025,21,64,75,262175,"174cm / 5'9""",59kg / 130lbs,Right,66,CAM,11,"Mar 12, 2021",N/A,€1.3M,€13K,€3.1M,262,52,50,47,68,45,288,63,53,41,63,68,334,68,63,73,67,63,255,49,51,61,49,45,283,59,59,61,65,39,62,166,51,60,55,43,6,11,7,8,11,1631,350,2,3,N/A,N/A,1,Lean (170-185),No,65,49,61,66,55,54
Felipe Salomoni,"LB, LM, LB",Pro League (United Arab Emirates),2023,2026,21,64,73,264431,"179cm / 5'10""",71kg / 157lbs,Left,64,LB,9,"Jul 13, 2023",N/A,€1.3M,€12K,€3.1M,256,67,39,53,62,35,248,58,42,35,53,60,326,76,73,64,54,59,305,56,69,68,65,47,236,48,57,54,41,36,53,175,54,61,60,44,6,10,12,7,9,1590,352,4,2,N/A,N/A,1,Lean (170-185),No,74,44,55,59,57,63
Mateo Sanabria,"LM, LW, RM, RM",Pro League (United Arab Emirates),2024,2028,20,64,78,267852,"178cm / 5'10""",72kg / 159lbs,Right,65,RM,14,"Aug 21, 2024",N/A,€1.4M,€13K,€4M,248,62,59,24,59,44,281,70,47,38,58,68,316,67,67,65,53,64,274,53,46,69,56,50,217,32,23,54,62,46,57,85,25,29,31,46,7,13,6,14,6,1467,326,3,3,N/A,N/A,1,Lean (170-185),No,67,54,58,67,26,54
Khalid Butti,"RB, LB, CDM, RB",Pro League (United Arab Emirates),2024,2027,32,63,63,73729,"172cm / 5'8""",65kg / 143lbs,Right,63,RB,0,"Jul 12, 2024",N/A,€325K,€17K,€715K,268,59,54,45,67,43,274,59,53,40,63,59,304,62,60,58,62,62,263,50,50,61,50,52,283,75,61,48,50,49,55,186,64,62,60,54,10,13,14,8,9,1632,350,3,2,N/A,N/A,1,Normal (170-185),No,61,52,59,59,61,58
Khaled Al Baloushi,"LB, LB",Pro League (United Arab Emirates),2018,2027,22,63,68,74994,"181cm / 5'11""",70kg / 154lbs,Left,63,LB,5,"Jul 1, 2018",N/A,€700K,€14K,€1.6M,211,47,32,45,58,29,223,55,29,29,47,63,326,64,64,62,60,76,198,20,48,59,47,24,231,60,67,38,32,34,44,192,63,65,64,49,15,12,9,7,6,1430,313,2,2,N/A,N/A,1,Normal (170-185),No,64,28,46,59,63,53
Sékou Gassama,"CAM, RM, RW, CAM",Pro League (United Arab Emirates),2024,2028,23,62,69,73728,"178cm / 5'10""",70kg / 154lbs,Left,64,CAM,7,"Jul 13, 2024",N/A,€800K,€15K,€1.9M,265,46,54,43,65,57,267,62,45,35,66,59,340,75,70,69,56,70,258,56,50,46,48,58,229,43,21,59,62,44,57,115,32,39,44,50,6,8,11,14,11,1524,328,3,3,N/A,N/A,1,Normal (170-185),No,72,55,58,62,34,47
