Player,Position,League,Contract Start,Contract End,Age,Overall Score,Potential Score,Player ID,Height,Weight,Preferred Foot,Best Overall,Best Position,Growth,Joined Team,Loan End,Value,Wage,Release Clause,Total Attacking Score,Crossing,Finishing,Heading Accuracy,Short Passing,Volleys,Total Skill,Dribbling,Curve,FK Accuracy,Long Passing,Ball Control,Total Movement,Acceleration,Sprint Speed,Agility,Reactions,Balance,Total Power,Shot Power,Jumping,Stamina,Strength,Long Shots,Total Mentality,Aggression,Interceptions,Attack Position,Vision,Penalties,Composure,Total Defending,Defensive Awareness,Standing Tackle,Sliding tackle,Total Goalkeeping,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes,Total Stats,Base Stats,Weak Foot,Skill Moves,Attacking Work Rate,Defensive Work Rate,International Reputation,Body Type,Real Face,Pace/Diving,Shooting/Handling,Passing/Kicking,Dribbling/Reflexes,Defending/Pace,Physical/Positioning
Erik Lamela,"RW, CAM, RW",Super League (Greece),2024,2027,32,79,79,170368,"184cm / 6'0""",75kg / 165lbs,Left,79,RW,0,"Jul 19, 2024",N/A,€14M,€38K,€29.4M,366,78,74,60,79,75,407,84,84,81,75,83,386,77,76,80,78,75,372,81,75,67,69,80,373,88+2,55,78,77,75,76,158,52,52,54,57,10,15,11,8,13,2119,440,2,4,N/A,N/A,3,Lean (170-185),Yes,76,77,78,82,54,73
Ayoub El Kaabi,"ST, ST",Super League (Greece),2023,2026,31,79+1,79+1,243586,"182cm / 6'0""",76kg / 168lbs,Left,79,ST,0,"Aug 6, 2023",N/A,€15M,€42K,€31.5M,371,60,84+1,80,67,80,312,72-2,65+2,55,42,78+1,383,80+2,83+1,73,73+4,74+2,389,80,89+1,68,77+2,75,333,59+4,41,82,67,84,69+8,126,40,44,42,58,15,10,13,13,7,1972,416,2,3,N/A,N/A,1,Normal (170-185),No,82,81,61,74,46,72
Levi García,"ST, RW, RM, ST",Super League (Greece),2020,2028,26,78,80,229153,"182cm / 6'0""",86kg / 190lbs,Left,80,ST,2,"Sep 16, 2020",N/A,€17.5M,€34K,€38.1M,358,70,79-1,77,70,62,379,83,79,72,65,80,414,88,89,79,73,85,412,78,95,77-1,87,75,315,70,30,72,73,70,79,89,31,30,28,49,10,10,10,9,10,2016,433,3,4,N/A,N/A,1,Stocky (170-185),No,89,76,70,81,35,82
Andrija Živković,"RW, RM, LW, RW",Super League (Greece),2020,2027,27,78,78,220746,"169cm / 5'7""",62kg / 137lbs,Left,78,RW,0,"Sep 8, 2020",N/A,€15M,€36K,€33M,340,75,74,47,74,70,385,82,84,71,67,81,406,84,80,80,74,88,346,78,66,74,56,72,347,64,64,73,77,69,78,168,54,61,53,40,9,11,8,6,6,2032,431,3,4,N/A,N/A,1,Normal (170-),Yes,82,74,74,81,57,63
Nemanja Maksimović,"CM, CDM, CM",Super League (Greece),2024,2027,29,78,78,239433,"189cm / 6'2""",78kg / 172lbs,Right,78,CM,0,"Jul 1, 2024",N/A,€13.5M,€28K,€29.7M,342,66,74,73,77,52,365,75,65,72,76,77,286,49,45,58,80,54,387,74,75,82,78,78,367,78,79,79,79,52,76,229,78,79,72,67,14,10,15,15,13,2043,423,3,3,N/A,N/A,1,Normal (185+),Yes,47,73,74,73,77,79
Roberto Pereyra,"CM, CAM, CAM",Super League (Greece),2024,2026,33,77-1,77-1,193061,"182cm / 6'0""",76kg / 168lbs,Right,78,CAM,0,"Jul 11, 2024",N/A,€6.5M,€30K,€13.7M,363,76,74,60,80,73,390,81-1,78,74,76,81-1,379,77,75,76,75-1,76,364,74,74,74,66,76,368,71,70,76-1,79,72,78,207,66,72,69,24,4,5,3,4,8,2095,445,4,4,N/A,N/A,2,Lean (170-185),Yes,76,74,78,80,68,69
Niclas Eliasson,"RM, LM, RM",Super League (Greece),2022,2028,28,77,77,220969,"178cm / 5'10""",70kg / 154lbs,Left,77,RM,0,"Aug 29, 2022",N/A,€10.5M,€30K,€22.1M,319,83,69,32,73,62,372,76,79,71,71,75,421,91,85,91,76,78,334,66,65,76,62,65,291,60,35,62,76,58,73,125,42,48,35,58,11,7,10,16,14,1920,413,4,4,N/A,N/A,1,Lean (170-185),No,88,66,76,77,41,65
Rodinei Marcelo de Almeida,"RB, RM, RB",Super League (Greece),2023,2027,32,77,77,212091,"177cm / 5'10""",70kg / 154lbs,Right,77,RB,0,"Jan 1, 2023",N/A,€7.5M,€31K,€15.8M,339,77,64,68,77,53,329,76,66,42,65,80,390,80,82,76,75,77,359,62,80,87,72,58,347,68,70,75,59,75,65,210,71,69,70,52,11,7,10,13,11,2026,435,3,3,N/A,N/A,1,Normal (170-185),No,81,63,69,77,70,75
Francisco L. Lima Silva Machado,"CM, CAM, CM",Super League (Greece),2024,2027,28,77,77,243686,"175cm / 5'9""",66kg / 146lbs,Right,77,CM,0,"Jan 20, 2024",N/A,€10.5M,€33K,€22.1M,345,75,72,48,79,71,380,76,78,71,77,78,380,75,73,78,74,80,368,76,66,83,66,77,361,64,71,76,76,74,78,200,67,70,63,36,5,12,6,5,8,2070,438,3,4,N/A,N/A,1,Unique,Yes,74,74,77,77,66,70
David Mota Teixeira Carmo,"CB, CB",Super League (Greece),2024,2029,24,77,81,251616,"196cm / 6'5""",89kg / 196lbs,Left,79,CB,4,"Aug 24, 2024",N/A,€13.5M,€26K,€29.4M,248,40,30,76,72,30,253,45,40,31,74,63,257,54,64,35,72,32,344,55,77,74,92,46,282,77,79,22,58,46,70,229,79,78,72,55,10,7,9,14,15,1668,371,2,2,N/A,N/A,1,Lean (185+),No,60,39,59,51,78,84
Santiago Hezze,"CDM, CM, CDM",Super League (Greece),2023,2028,22,77,83,255971,"182cm / 6'0""",77kg / 170lbs,Right,78,CDM,6,"Aug 19, 2023",N/A,€15.5M,€26K,€35.7M,300,53,65,70,77,35,304,69,48,40,74,73,348,68,69,71,73,67,365,64,76,88,74,63,338,71,79,72,70,46,70,222,72,76,74,56,8,13,14,14,7,1933,421,3,3,N/A,N/A,1,Normal (170-185),No,69,62,67,71,75,77
Fotis Ioannidis,"ST, ST",Super League (Greece),2020,2027,24,77,81,258015,"186cm / 6'1""",80kg / 176lbs,Right,79,ST,4,"Aug 10, 2020",N/A,€15.5M,€24K,€35.3M,339,43,79,77,70,70,334,79,67,50,59,79,371,75,77,75,74,70,386,75,88,72,79,72,296,59,19,79,59,80,77,60,13,23,24,39,6,13,10,5,5,1825,389,4,3,N/A,N/A,1,Normal (185+),No,76,76,60,78,25,74
Petros Mantalos,"CAM, CM, CAM",Super League (Greece),2014,2026,32,76,76,208224,"177cm / 5'10""",74kg / 163lbs,Right,76,CAM,0,"Jul 1, 2014",N/A,€6M,€29K,€12.6M,349,76,67,64,79,63,377,75,75,71,79,77,371,72,71,78,72,78,337,67,72,68-2,63,67,345,65,55,75,81,69,79,156,59,52,45,51,8,14,7,10,12,1986,412,4,3,N/A,N/A,1,Normal (170-185),No,71,67,78,76,55,65
Anthony Martial,"ST, RW",Super League (Greece),2024,2027,28,76,76,211300,"181cm / 5'11""",76kg / 168lbs,Right,77,RW,0,"Sep 19, 2024",N/A,€7.5M,€31K,€15.8M,367,69,76,70,76,76,351,81,82,54,54,80,382,78,77,77,73,77,361,80,81,54,74,72,321,54,34,76,77,80,79,90,26,33,31,51,9,8,8,15,11,1923,404,3,4,N/A,N/A,3,Unique,Yes,77,76,71,80,35,65
Orbelín Pineda,"CAM, LM, CM, RM",Super League (Greece),2023,2027,28,76,76,224574,"169cm / 5'7""",63kg / 139lbs,Right,77,RM,0,"Jul 1, 2023",N/A,€7.5M,€29K,€15.8M,349,73,74,60,72,70,359,81,70,56,72,80,406,82,80,88,78,78,361,76,72,81,57,75,357,70,66,74,72,75,70,194,64,65,65,56,15,14,7,10,10,2082,437,4,4,N/A,N/A,1,Normal (170-),No,81,74,71,81,64,66
Willian Borges da Silva,"LM, LW, CAM",Super League (Greece),2024,2025,35,76-1,76-1,180403,"175cm / 5'9""",77kg / 170lbs,Right,77,CAM,0,"Sep 2, 2024",N/A,€3.1M,€23K,€6.5M,316,74,74,31,78,59,393,82,81,80,70,80,373,70-3,67-2,82,76-2,78-1,320,79,52-3,56-3,56,77,334,45,55,78,77-1,79,84,148,43,55,50,59,14,12,13,7,13,1943,403,4,4,N/A,N/A,3,Normal (170-185),Yes,68,75,76,81,49,54
Daniel García Carrillo,"CM, CDM, CDM",Super League (Greece),2024,2025,34,76,76,216194,"180cm / 5'11""",81kg / 179lbs,Right,80,CDM,0,"Jul 5, 2024",N/A,€3.5M,€30K,€7.4M,307,55,58,63,78,53,337,66,61,57,77,76,316,44,50,62,82,78,376,69,69,89,81,68,373,87,80,74,74,58,68,236,78,80,78,51,6,14,14,6,11,1996,413,3,3,N/A,N/A,1,Normal (170-185),Yes,47,63,71,70,78,84
Taison Barcellos Freda,"CAM, LW, CAM",Super League (Greece),2023,2025,36,76,76,188803,"172cm / 5'8""",67kg / 148lbs,Right,76,CAM,0,"Jan 14, 2023",N/A,€2.4M,€23K,€5.3M,356,73,74,56,75,78,379,83,65,74,74,83,385,81,82,82,58,82,362,78,73,70,65,76,307,55,42,70,70,70,76,125,32,53,40,53,7,7,11,15,13,1967,420,3,4,N/A,N/A,2,Normal (170-185),No,82,75,73,81,44,65
Kiril Despodov,"RW, RM, LM, RW",Super League (Greece),2023,2027,27,76,76,245977,"180cm / 5'11""",70kg / 154lbs,Right,76,RW,0,"Sep 4, 2023",N/A,€8M,€31K,€17.6M,342,71,79,48,72,72,362,75,72,76+2,62,77,389,83,83,76,72,75,360,82,69,71,64,74,306,68,23,77,74,64,75,80,22,30,28,50,10,12,10,5,13,1889,402,4,3,N/A,N/A,1,Normal (170-185),No,83,77,71,76,28,67
Dominik Kotarski,"GK, GK",Super League (Greece),2022,2026,24,76,81,246267,"189cm / 6'2""",80kg / 176lbs,Right,76,GK,5,"Jul 1, 2022",N/A,€9M,€14K,€20.5M,84,12,6,11,47,8,125,15,17,12,42,39,260,38,41,55,73,53,215,57,59,31,59,9,149,38,22,11,63,15,50,39,15,14,10,378,78,72,76,73,79,1250,417,2,1,N/A,N/A,1,Normal (185+),No,78,72,76,79,39,73
Willian Souza Arão da Silva,"CDM, CB, CDM",Super League (Greece),2023,2025,32,76,76,207884,"181cm / 5'11""",74kg / 163lbs,Right,76,CDM,0,"Aug 17, 2023",N/A,€5M,€23K,€11M,301,58,56,74,73,40,318,67,56,48,76,71,328,65,69,68,69,57,386,75,75,86,82,68,353,81,79,71,66,56,75,224,74,77,73,70,16,16,15,10,13,1980,422,3,3,N/A,N/A,1,Normal (170-185),No,67,62,67,68,76,82
Anastasios Bakasetas,"CAM, CM, CAM",Super League (Greece),2024,2027,31,76,76,208250,"181cm / 5'11""",78kg / 172lbs,Left,76,CAM,0,"Jan 22, 2024",N/A,€6M,€25K,€13.2M,369,76,77,67,75,74,385,74,79,79,74,79,352,67,68,72,77,68,399,86,77,75,78,83,359,71,62,78,78,70,77,165,56,59,50,59,12,12,13,8,14,2088,434,4,3,N/A,N/A,1,Normal (170-185),No,68,80,76,75,59,76
